name|rating|country|category|price|abv|age|brand|time_data|row_num|id|mean_age|mean_abv|mean_price
Forty Creek Port Wood Reserve Whiskey|83|Canada|Blended|70|45||Forty Creek|1995-01-01  00:00:00|100|080e400e-000c-4372-b907-913fad0427ed|14.36|44.61|72.37
Maker's Mark Bourbon 46|83|USA|Bourbon|35|47||Maker's Mark|1995-01-01  00:00:00|101|f3bb5d9e-155c-4cb0-9081-0260dd4bf4ed|14.36|44.61|72.37
Oban 14 Year Old Single Malt Scotch|83|Scotland|Highlands|65|43|14|Oban|1995-01-01  00:00:00|102|863e9397-cdc3-4d74-b70d-81dca2263b6d|14.36|44.61|72.37
Laphroaig 10 Year Old Cast Strength Islay Single Malt Scotch Whisky|83|Scotland|Islay|60|43|10|Laphroaig|1995-01-01  00:00:00|103|eda8ddbf-db96-4596-9600-fc2a190b7ab0|14.36|44.61|72.37
Powers Gold Label Irish Whiskey|84|Ireland|Blended|25|40|12|Powers|1995-01-01  00:00:00|104|bb60fa0e-fdc4-48d5-ae83-21928770e750|14.36|44.61|72.37
Laphroaig 10 Year Old Single Malt Scotch Whisky|84|Scotland|Islay|47|40|10|Laphroaig|1995-01-01  00:00:00|105|0ef36514-e0ea-4d04-a791-4dfdc4530a3f|14.36|44.61|72.37
Johnnie Walker Blue Label Scotch Whisky|84|Scotland|Blended|199|40|12|Johnnie Walker|1995-01-01  00:00:00|106|d3ae005f-4ddb-4ede-b9d1-2b65ccd5bbef|14.36|44.61|72.37
Kilbeggan 15 Year Old Finest Irish Whiskey|84|Ireland|Blended|100|40|15|Kilbeggan|1995-01-01  00:00:00|107|39ca650b-3f50-43b3-8bb4-bef11ecbf31d|14.36|44.61|72.37
Tullamore Dew 12 Year Old Irish Special Reserve Whiskey|84|Ireland|Blended|43|40|12|Tullamore|1995-01-01  00:00:00|108|62109ac0-ec04-4bf2-bf5b-9c55f0fb2708|14.36|44.61|72.37
Balvenie Portwood 21 Year Old Single Malt Scotch Whisky|84|Scotland|Speyside|160|43|21|Balvenie|1995-01-01  00:00:00|109|9a8f9476-b92d-4bbd-a8c1-154082233592|14.36|44.61|72.37
High West Double Rye Whiskey|85|USA|Rye|34|46||High West|1995-01-01  00:00:00|110|abf8a4e1-34aa-4cfa-b882-e3eebd0a71e5|14.36|44.61|72.37
Lagavulin 16 Scotch|85|Scotland|Islay|68|43|16|Lagavulin|1995-01-01  00:00:00|111|1f2f816e-2c88-4ec3-a735-f23c0749ca66|14.36|44.61|72.37
Auchentoshan 18-Year Old Single Malt Scotch Whisky|85|Scotland|Lowlands|98|54.7|18|Auchentoshan|1995-01-01  00:00:00|112|f71cab38-26ee-42b2-b16b-244f28cc3f20|14.36|44.61|72.37
Amrut Fusion Single Malt Whisky|85|India|Single Malt|65|50||Amrut|1995-01-01  00:00:00|113|7fce43b7-a44d-41cb-b5d6-a460c900fa5b|14.36|44.61|72.37
Black Maple Hill 23 Year Old Limited Edition Kentucky Straight Rye Whiskey|85|USA|Rye|100|47.5|23|Black Maple Hill|1995-01-01  00:00:00|114|09353952-26ec-411d-9206-1ad3b7cf09b4|14.36|44.61|72.37
Bushmills 10 Year Old Single Malt Irish Whiskey|85|Ireland|Single Malt|39|40|10|Bushmills|1995-01-01  00:00:00|115|237c5897-887d-44dd-99f5-0695839da40e|14.36|44.61|72.37
Springbank 15 Year Old Campbeltown Single Malt Scotch Whisky|85|Scotland|Campbeltown|95|46|15|Springbank|1995-01-01  00:00:00|116|25e440e8-ced2-45e6-8287-6f9aa3d974b5|14.36|44.61|72.37
Cedar Ridge Distillery Iowa Bourbon Whiskey|85|USA|Bourbon|36|40||Cedar Ridge|1995-01-01  00:00:00|117|375ab5f2-980e-49f1-b23b-add77897ef7a|14.36|44.61|72.37
Jameson Irish Whiskey Gold Reserve|86|Ireland|Blended|61|40||Jameson|1995-01-01  00:00:00|118|70ca8bf3-7254-4cf0-bd36-071c6685b252|14.36|44.61|72.37
John L. Sullivan Irish Whiskey|86|Ireland|Blended|24|40||John L. Sullivan|1995-01-01  00:00:00|119|3a1f709f-2fe2-4a86-8f36-15a03bbc7c4f|14.36|44.61|72.37
Tullamore Dew 10 Year Old Irish Reserve Whiskey|86|Ireland|Blended||40|10|Tullamore|1995-01-01  00:00:00|120|86067d21-48c2-4999-a1a5-acaa9f69672a|14.36|44.61|72.37
Caol Ila 12 Year Old Single Malt Scotch|86|Scotland|Islay|43|43|12|Caol Ila|1995-01-01  00:00:00|121|dba8305a-ee63-4b0f-bbfb-f2454fc5ee6d|14.36|44.61|72.37
